Player_Pairs,Number_of_Partnerships,Unbroken,Total_Runs,Highest_Runs,Avg_Runs_Per_Dismissal,Century_Partnerships,50Runs_Partnerships,Country
AD Hales & MJ Lumb,18,1,705,143*,41.47,2,3,England
JC Buttler & EJG Morgan,20,4,558,114*,34.87,1,2,England
AD Hales & JJ Roy,22,0,526,82,23.9,0,2,England
AD Hales & EJG Morgan,13,1,478,152,39.83,2,0,England
EJG Morgan & LJ Wright,15,0,467,95,31.13,0,4,England
C Kieswetter & KP Pietersen,10,0,443,111,44.3,1,2,England
AD Hales & JE Root,13,0,410,72,31.53,0,5,England
PD Collingwood & KP Pietersen,14,0,370,100,26.42,1,1,England
JC Buttler & JE Root,12,1,365,75,33.18,0,3,England
AD Hales & LJ Wright,14,1,358,69,27.53,0,3,England
EJG Morgan & JE Root,15,0,323,83,21.53,0,2,England
JC Buttler & JJ Roy,7,0,319,95,45.57,0,3,England
EJG Morgan & KP Pietersen,10,2,306,112*,38.25,1,1,England
PD Collingwood & OA Shah,7,0,295,102,42.14,1,1,England
C Kieswetter & MJ Lumb,9,0,230,68,25.55,0,1,England
AD Hales & C Kieswetter,11,1,224,128*,22.4,1,0,England
AD Hales & DJ Malan,3,0,214,105,71.33,1,1,England
RS Bopara & AD Hales,3,1,208,159,104,1,0,England
JM Bairstow & AD Hales,4,1,189,98*,63,0,2,England
RS Bopara & EJG Morgan,9,0,181,73,20.11,0,1,England
KP Pietersen & IJL Trott,5,0,179,98,35.8,0,2,England
PD Collingwood & EJG Morgan,5,1,178,98,44.5,0,1,England
RS Bopara & JC Buttler,7,0,171,45,24.42,0,0,England
JC Buttler & AD Hales,4,0,164,76,41,0,1,England
RS Bopara & LJ Wright,8,0,160,102,20,1,0,England
MM Ali & EJG Morgan,5,0,155,135,31,1,0,England
RS Bopara & KP Pietersen,5,0,147,71,29.4,0,2,England
IR Bell & KP Pietersen,3,1,146,79*,73,0,1,England
JE Root & JJ Roy,4,0,136,61,34,0,1,England
JE Root & BA Stokes,7,1,135,52,22.5,0,1,England
RS Bopara & TT Bresnan,6,1,127,47,25.4,0,0,England
DJ Malan & EJG Morgan,2,0,127,93,63.5,0,1,England
RS Bopara & CJ Jordan,5,1,123,36,30.75,0,0,England
JM Bairstow & JC Buttler,8,1,116,50,16.57,0,1,England
TT Bresnan & EJG Morgan,6,1,115,33*,23,0,0,England
DL Maddy & VS Solanki,2,0,115,62,57.5,0,2,England
KP Pietersen & OA Shah,4,0,114,66,28.5,0,1,England
JM Bairstow & JJ Roy,1,0,110,110,110,1,0,England
SW Billings & JC Buttler,3,0,109,43,36.33,0,0,England
AD Mascarenhas & OA Shah,5,1,109,69*,27.25,0,1,England
JC Buttler & JM Vince,4,0,108,36,27,0,0,England
SW Billings & EJG Morgan,2,0,107,65,53.5,0,1,England
JE Root & JM Vince,3,0,101,48,33.66,0,0,England
RS Bopara & JE Root,3,1,98,95,49,0,1,England
JM Bairstow & EJG Morgan,2,0,97,81,48.5,0,1,England
EJG Morgan & JM Vince,2,0,96,76,48,0,1,England
EJG Morgan & MH Yardy,2,2,94,67*,-,0,1,England
PD Collingwood & MH Yardy,1,0,91,91,91,0,1,England
SW Billings & JJ Roy,4,0,87,42,21.75,0,0,England
EJG Morgan & SR Patel,3,0,82,55,27.33,0,1,England
KP Pietersen & ME Trescothick,3,0,82,51,27.33,0,1,England
SR Patel & KP Pietersen,2,0,80,60,40,0,1,England
MM Ali & DJ Willey,3,1,79,57*,39.5,0,1,England
P Mustard & LJ Wright,2,0,77,65,38.5,0,1,England
IR Bell & SM Davies,2,0,76,60,38,0,1,England
TT Bresnan & SCJ Broad,3,1,74,34,37,0,0,England
JC Buttler & DJ Willey,5,1,73,24,18.25,0,0,England
MM Ali & MJ Lumb,1,0,72,72,72,0,1,England
JC Buttler & SR Patel,4,0,71,38,17.75,0,0,England
AN Cook & IJL Trott,2,0,70,45,35,0,0,England
JJ Roy & BA Stokes,2,0,70,47,35,0,0,England
PD Collingwood & AD Mascarenhas,4,0,67,40,16.75,0,0,England
GO Jones & ME Trescothick,2,0,66,38,33,0,0,England
AN Cook & MJ Prior,2,0,65,40,32.5,0,0,England
A Flintoff & OA Shah,4,0,65,30,16.25,0,0,England
JC Buttler & JC Tredwell,3,2,64,35,64,0,0,England
KP Pietersen & LJ Wright,3,1,64,53,32,0,1,England
SCJ Broad & GP Swann,8,3,62,33*,12.4,0,0,England
PD Collingwood & AJ Strauss,2,0,62,49,31,0,0,England
MJ Lumb & LJ Wright,3,0,60,60,20,0,1,England
JM Vince & CR Woakes,1,0,60,60,60,0,1,England
AJ Strauss & ME Trescothick,2,0,59,59,29.5,0,1,England
RS Bopara & SM Davies,2,0,58,33,29,0,0,England
JM Bairstow & BA Stokes,2,0,57,37,28.5,0,0,England
JC Buttler & C Kieswetter,2,0,57,48,28.5,0,0,England
KP Pietersen & MJ Prior,2,0,55,31,27.5,0,0,England
MJ Prior & OA Shah,1,0,55,55,55,0,1,England
RS Bopara & PD Collingwood,2,0,54,31,27,0,0,England
C Kieswetter & EJG Morgan,3,0,53,21,17.66,0,0,England
OA Shah & LJ Wright,2,0,53,42,26.5,0,0,England
JWM Dalrymple & ME Trescothick,2,0,52,47,26,0,0,England
MM Ali & BA Stokes,4,1,51,38,17,0,0,England
SR Patel & GP Swann,1,0,51,51,51,0,1,England
JWM Dalrymple & PA Nixon,1,0,49,49,49,0,0,England
DL Maddy & MJ Prior,2,0,49,29,24.5,0,0,England
EJG Morgan & BA Stokes,4,0,49,23,12.25,0,0,England
JM Bairstow & RS Bopara,2,1,48,33,48,0,0,England
IR Bell & LJ Wright,1,0,48,48,48,0,0,England
CJ Jordan & DJ Willey,7,1,47,25,7.83,0,0,England
MJ Lumb & EJG Morgan,4,0,47,23,11.75,0,0,England
SW Billings & JE Root,2,0,44,43,22,0,0,England
JM Bairstow & SR Patel,3,0,43,39,14.33,0,0,England
KP Pietersen & VS Solanki,1,0,43,43,43,0,0,England
RS Bopara & BA Stokes,4,1,41,18,13.66,0,0,England
TT Bresnan & CR Woakes,2,1,41,30*,41,0,0,England
MM Ali & CJ Jordan,3,1,39,28,19.5,0,0,England
IR Bell & ME Trescothick,1,0,39,39,39,0,0,England
RS Bopara & SR Patel,3,1,39,35*,19.5,0,0,England
C Kieswetter & LJ Wright,2,0,39,23,19.5,0,0,England
JC Buttler & DJ Malan,3,0,38,15,12.66,0,0,England
CJ Jordan & LE Plunkett,5,1,38,19,9.5,0,0,England
MM Ali & AD Hales,5,0,37,27,7.4,0,0,England
PD Collingwood & ME Trescothick,3,0,37,20,12.33,0,0,England
IR Bell & AD Hales,1,0,36,36,36,0,0,England
RS Bopara & MJ Lumb,1,0,36,36,36,0,0,England
PD Collingwood & IJL Trott,1,0,36,36,36,0,0,England
PD Collingwood & LJ Wright,2,0,36,19,18,0,0,England
JS Foster & AD Mascarenhas,2,1,36,29*,36,0,0,England
JM Bairstow & LJ Wright,1,0,35,35,35,0,0,England
SM Davies & C Kieswetter,2,0,35,26,17.5,0,0,England
RS Bopara & OA Shah,1,0,34,34,34,0,0,England
DJ Malan & JM Vince,2,0,34,18,17,0,0,England
MM Ali & JE Root,2,0,33,33,16.5,0,0,England
JM Bairstow & C Kieswetter,2,0,33,30,16.5,0,0,England
SW Billings & DJ Malan,2,0,33,20,16.5,0,0,England
JC Buttler & LJ Wright,2,0,33,18,16.5,0,0,England
DJ Malan & DJ Willey,2,0,33,29,16.5,0,0,England
MM Ali & JC Buttler,5,0,32,15,6.4,0,0,England
SM Davies & KP Pietersen,2,0,32,30,16,0,0,England
JC Buttler & CJ Jordan,2,0,31,27,15.5,0,0,England
JJ Roy & JM Vince,3,0,31,16,10.33,0,0,England
RS Bopara & CR Woakes,2,1,30,16*,30,0,0,England
SCJ Broad & JC Buttler,3,0,30,18,10,0,0,England
DL Maddy & KP Pietersen,2,0,29,18,14.5,0,0,England
JM Bairstow & GP Swann,2,2,28,15*,-,0,0,England
JL Denly & BA Stokes,1,0,28,28,28,0,0,England
EJG Morgan & JJ Roy,2,0,28,15,14,0,0,England
KP Pietersen & MP Vaughan,1,0,27,27,27,0,0,England
A Flintoff & LJ Wright,1,0,26,26,26,0,0,England
PD Collingwood & SM Davies,2,0,25,13,12.5,0,0,England
RS Bopara & DR Briggs,1,1,24,24*,-,0,0,England
A Flintoff & KP Pietersen,1,0,24,24,24,0,0,England
P Mustard & KP Pietersen,2,0,24,19,12,0,0,England
SG Borthwick & JC Buttler,1,0,23,23,23,0,0,England
JW Dernbach & ST Finn,3,1,23,20,11.5,0,0,England
AD Hales & DJ Willey,1,1,23,23*,-,0,0,England
IR Bell & MP Vaughan,1,0,22,22,22,0,0,England
ST Finn & JC Tredwell,1,0,22,22,22,0,0,England
AD Mascarenhas & KP Pietersen,2,0,22,18,11,0,0,England
AU Rashid & BA Stokes,2,1,22,22*,22,0,0,England
A Flintoff & ME Trescothick,1,0,21,21,21,0,0,England
MJ Prior & IJL Trott,2,0,21,13,10.5,0,0,England
TT Bresnan & JC Buttler,5,1,20,9,5,0,0,England
SCJ Broad & KP Pietersen,1,1,20,20*,-,0,0,England
JC Buttler & LS Livingstone,2,0,20,20,10,0,0,England
JC Buttler & BA Stokes,4,1,20,9*,6.66,0,0,England
AN Cook & JL Denly,2,0,20,20,10,0,0,England
RS Bopara & C Kieswetter,4,0,19,13,4.75,0,0,England
SCJ Broad & AU Rashid,1,0,19,19,19,0,0,England
SCJ Broad & CP Schofield,2,1,19,11*,19,0,0,England
JL Denly & IJL Trott,2,0,19,12,9.5,0,0,England
AD Hales & KP Pietersen,1,0,19,19,19,0,0,England
AD Mascarenhas & CP Schofield,3,1,19,15*,9.5,0,0,England
TT Bresnan & MH Yardy,3,0,18,14,6,0,0,England
PD Collingwood & C Kieswetter,2,0,18,15,9,0,0,England
JS Foster & GP Swann,1,0,18,18,18,0,0,England
CJ Jordan & AU Rashid,3,1,18,13*,9,0,0,England
CJ Jordan & MA Wood,1,1,18,18*,-,0,0,England
AU Rashid & CR Woakes,1,1,18,18*,-,0,0,England
TT Bresnan & LJ Wright,2,1,17,9,17,0,0,England
JC Buttler & KP Pietersen,1,0,17,17,17,0,0,England
PD Collingwood & VS Solanki,1,0,17,17,17,0,0,England
JWM Dalrymple & MH Yardy,1,0,17,17,17,0,0,England
GJ Batty & AJ Strauss,1,0,16,16,16,0,0,England
SM Davies & EJG Morgan,2,0,16,14,8,0,0,England
CMW Read & MH Yardy,1,0,16,16,16,0,0,England
JM Bairstow & MJ Lumb,1,0,15,15,15,0,0,England
RS Bopara & SCJ Broad,1,0,15,15,15,0,0,England
A Flintoff & JN Snape,1,0,15,15,15,0,0,England
AD Mascarenhas & GP Swann,2,0,15,15,7.5,0,0,England
MM Ali & SW Billings,2,0,14,12,7,0,0,England
JM Bairstow & JE Root,2,0,14,11,7,0,0,England
IR Bell & PD Collingwood,1,0,14,14,14,0,0,England
RS Bopara & JW Dernbach,1,0,14,14,14,0,0,England
AD Hales & BA Stokes,2,0,14,8,7,0,0,England
SI Mahmood & MH Yardy,1,1,14,14*,-,0,0,England
JC Buttler & LE Plunkett,1,0,13,13,13,0,0,England
GP Swann & CR Woakes,1,0,13,13,13,0,0,England
JC Buttler & AU Rashid,1,0,12,12,12,0,0,England
MJ Lumb & KP Pietersen,1,0,12,12,12,0,0,England
LE Plunkett & AU Rashid,2,0,12,12,6,0,0,England
AU Rashid & MA Wood,1,1,12,12*,-,0,0,England
RJ Sidebottom & GP Swann,1,1,12,12*,-,0,0,England
BA Stokes & DJ Willey,1,0,12,12,12,0,0,England
SW Billings & JM Vince,1,0,11,11,11,0,0,England
PD Collingwood & JS Foster,1,0,11,11,11,0,0,England
TK Curran & CJ Jordan,2,1,11,10,11,0,0,England
LA Dawson & EJG Morgan,1,0,11,11,11,0,0,England
A Flintoff & AD Mascarenhas,2,1,11,7,11,0,0,England
EJG Morgan & DJ Willey,1,0,11,11,11,0,0,England
LE Plunkett & DJ Willey,3,1,11,10*,5.5,0,0,England
JM Bairstow & KP Pietersen,1,0,10,10,10,0,0,England
IR Bell & PA Nixon,1,0,10,10,10,0,0,England
TT Bresnan & JW Dernbach,1,1,10,10*,-,0,0,England
TT Bresnan & JC Tredwell,1,0,10,10,10,0,0,England
SCJ Broad & JC Tredwell,2,0,10,10,5,0,0,England
MM Ali & RS Bopara,1,0,9,9,9,0,0,England
TT Bresnan & GO Jones,1,1,9,9*,-,0,0,England
MA Carberry & AD Hales,1,0,9,9,9,0,0,England
PD Collingwood & RWT Key,1,0,9,9,9,0,0,England
JS Foster & RWT Key,1,1,9,9*,-,0,0,England
LS Livingstone & EJG Morgan,1,0,9,9,9,0,0,England
PA Nixon & MS Panesar,1,0,9,9,9,0,0,England
GP Swann & MH Yardy,2,1,9,6*,9,0,0,England
SCJ Broad & CJ Jordan,2,0,8,6,4,0,0,England
SCJ Broad & AD Mascarenhas,2,1,8,8*,8,0,0,England
LS Livingstone & JJ Roy,1,0,8,8,8,0,0,England
DL Maddy & LJ Wright,1,0,8,8,8,0,0,England
SR Patel & BA Stokes,1,0,8,8,8,0,0,England
JM Bairstow & DJ Willey,2,0,7,4,3.5,0,0,England
TT Bresnan & GP Swann,1,1,7,7*,-,0,0,England
SCJ Broad & SR Patel,2,0,7,5,3.5,0,0,England
PD Collingwood & MJ Prior,2,1,7,4*,7,0,0,England
TK Curran & LE Plunkett,1,0,7,7,7,0,0,England
JW Dernbach & CJ Jordan,1,0,7,7,7,0,0,England
CJ Jordan & EJG Morgan,1,1,7,7*,-,0,0,England
SI Mahmood & MJ Prior,1,1,7,7*,-,0,0,England
MM Ali & JM Bairstow,1,1,6,6*,-,0,0,England
JM Anderson & PA Nixon,1,1,6,6*,-,0,0,England
JM Bairstow & AU Rashid,1,0,6,6,6,0,0,England
SW Billings & CJ Jordan,1,0,6,6,6,0,0,England
TT Bresnan & CJ Jordan,1,0,6,6,6,0,0,England
SCJ Broad & JE Root,1,1,6,6*,-,0,0,England
DJ Malan & JJ Roy,2,0,6,4,3,0,0,England
EJG Morgan & GP Swann,1,0,6,6,6,0,0,England
OA Shah & GP Swann,1,0,6,6,6,0,0,England
JM Vince & DJ Willey,1,0,6,6,6,0,0,England
CR Woakes & LJ Wright,1,0,6,6,6,0,0,England
JM Bairstow & SCJ Broad,1,0,5,5,5,0,0,England
SCJ Broad & CR Woakes,1,0,5,5,5,0,0,England
PD Collingwood & P Mustard,1,0,5,5,5,0,0,England
LA Dawson & LS Livingstone,1,0,5,5,5,0,0,England
AU Rashid & RJW Topley,1,0,5,5,5,0,0,England
SCJ Broad & A Khan,1,0,4,4,4,0,0,England
PD Collingwood & J Lewis,1,0,4,4,4,0,0,England
LA Dawson & LE Plunkett,1,1,4,4*,-,0,0,England
LE Plunkett & BA Stokes,1,0,4,4,4,0,0,England
MJ Prior & AU Rashid,1,0,4,4,4,0,0,England
AU Rashid & DJ Willey,1,0,4,4,4,0,0,England
A Shahzad & CR Woakes,1,1,4,4*,-,0,0,England
MM Ali & LE Plunkett,1,1,3,3*,-,0,0,England
GJ Batty & SCJ Broad,1,0,3,3,3,0,0,England
RS Bopara & IJL Trott,1,0,3,3,3,0,0,England
SCJ Broad & RJ Kirtley,1,0,3,3,3,0,0,England
PD Collingwood & A Flintoff,2,0,3,3,1.5,0,0,England
PD Collingwood & GP Swann,1,0,3,3,3,0,0,England
JW Dernbach & GP Swann,1,0,3,3,3,0,0,England
ST Finn & GP Swann,1,0,3,3,3,0,0,England
EC Joyce & MP Vaughan,1,0,3,3,3,0,0,England
AD Mascarenhas & AJ Strauss,1,0,3,3,3,0,0,England
DJ Willey & CR Woakes,1,0,3,3,3,0,0,England
JM Anderson & CP Schofield,1,1,2,2*,-,0,0,England
JM Bairstow & LE Plunkett,1,0,2,2,2,0,0,England
SG Borthwick & GP Swann,1,0,2,2,2,0,0,England
A Flintoff & MP Vaughan,1,0,2,2,2,0,0,England
AD Hales & JM Vince,1,0,2,2,2,0,0,England
C Kieswetter & BA Stokes,1,0,2,2,2,0,0,England
J Lewis & PA Nixon,1,0,2,2,2,0,0,England
EJG Morgan & MJ Prior,1,0,2,2,2,0,0,England
SD Parry & JC Tredwell,1,0,2,2,2,0,0,England
SR Patel & LJ Wright,1,1,2,2*,-,0,0,England
MJ Prior & LJ Wright,3,0,2,2,0.66,0,0,England
CP Schofield & LJ Wright,1,0,2,2,2,0,0,England
ME Trescothick & MP Vaughan,1,0,2,2,2,0,0,England
MM Ali & AU Rashid,1,1,1,1*,-,0,0,England
MM Ali & JJ Roy,1,0,1,1,1,0,0,England
MM Ali & JM Vince,2,0,1,1,0.5,0,0,England
IR Bell & P Mustard,1,0,1,1,1,0,0,England
SW Billings & BA Stokes,1,0,1,1,1,0,0,England
RS Bopara & JL Denly,1,0,1,1,1,0,0,England
SCJ Broad & MH Yardy,1,1,1,1*,-,0,0,England
JS Foster & OA Shah,1,0,1,1,1,0,0,England
CJ Jordan & JE Root,1,0,1,1,1,0,0,England
JM Anderson & SCJ Broad,1,0,0,0,0,0,0,England
JM Anderson & AU Rashid,1,0,0,0,0,0,0,England
SW Billings & AU Rashid,1,0,0,0,0,0,0,England
TT Bresnan & PD Collingwood,1,0,0,0,0,0,0,England
TT Bresnan & MJ Prior,1,0,0,0,0,0,0,England
SCJ Broad & ST Finn,1,0,0,0,0,0,0,England
PD Collingwood & MJ Lumb,1,0,0,0,0,0,0,England
AD Hales & SR Patel,1,0,0,0,0,0,0,England
AD Mascarenhas & LJ Wright,1,0,0,0,0,0,0,England
TS Mills & AU Rashid,1,0,0,0,0,0,0,England
DA Warner & SR Watson,37,0,1154,133,31.18,3,6,Australia
AJ Finch & DJM Short,13,1,549,223,45.75,1,2,Australia
AC Gilchrist & ML Hayden,9,1,398,104,49.75,2,1,Australia
GJ Maxwell & DA Warner,10,1,382,161,42.44,1,2,Australia
AJ Finch & DA Warner,17,0,380,98,22.35,0,1,Australia
MEK Hussey & SR Watson,7,1,369,108,61.5,1,2,Australia
MEK Hussey & CL White,13,3,346,101*,34.6,1,1,Australia
DJ Hussey & CL White,16,1,329,50,21.93,0,1,Australia
AJ Finch & CL White,7,1,318,106,53,1,0,Australia
AJ Finch & GJ Maxwell,9,1,298,118,37.25,1,0,Australia
GJ Maxwell & DJM Short,8,0,280,78,35,0,3,Australia
DJ Hussey & DA Warner,10,0,258,54,25.8,0,2,Australia
TM Head & GJ Maxwell,3,0,241,109,80.33,2,0,Australia
AJ Finch & SR Watson,7,0,228,101,32.57,1,0,Australia
AJ Finch & SE Marsh,5,0,224,114,44.8,1,1,Australia
MJ Clarke & CL White,5,1,221,82,55.25,0,2,Australia
DJM Short & DA Warner,5,0,209,121,41.8,1,1,Australia
MJ Clarke & DJ Hussey,11,0,208,67,18.9,0,1,Australia
GJ Maxwell & SPD Smith,4,0,206,112,51.5,1,1,Australia
UT Khawaja & SR Watson,4,0,198,76,49.5,0,2,Australia
MJ Clarke & BJ Haddin,7,1,192,73,32,0,1,Australia
MJ Clarke & DA Warner,12,0,192,40,16,0,0,Australia
MEK Hussey & RT Ponting,5,1,176,77*,44,0,2,Australia
AJ Finch & M Klinger,3,0,173,79,57.66,0,2,Australia
SE Marsh & DA Warner,5,0,170,67,34,0,1,Australia
BJ Haddin & DA Warner,5,0,159,66,31.8,0,1,Australia
TM Head & MC Henriques,4,1,158,109*,52.66,1,0,Australia
RT Ponting & A Symonds,5,0,156,50,31.2,0,1,Australia
SE Marsh & SR Watson,3,0,150,82,50,0,2,Australia
GJ Bailey & DA Warner,4,0,147,63,36.75,0,1,Australia
GJ Bailey & CL White,6,3,145,78*,48.33,0,1,Australia
AJ Finch & TM Head,5,1,144,82*,36,0,1,Australia
AJ Finch & SPD Smith,6,1,136,51,27.2,0,1,Australia
CA Lynn & DJM Short,7,0,133,49,19,0,0,Australia
DJ Hussey & MS Wade,3,0,130,56,43.33,0,1,Australia
BJ Haddin & SR Watson,4,0,117,42,29.25,0,0,Australia
MR Marsh & GJ Maxwell,6,1,111,34,22.2,0,0,Australia
GJ Maxwell & MP Stoinis,5,1,111,78,27.75,0,1,Australia
ML Hayden & RT Ponting,3,1,110,48,55,0,0,Australia
GJ Maxwell & CL White,6,0,109,38,18.16,0,0,Australia
SPD Smith & DA Warner,3,0,109,79,36.33,0,1,Australia
SPD Smith & SR Watson,3,1,108,74*,54,0,1,Australia
MEK Hussey & SPD Smith,5,1,107,74,26.75,0,1,Australia
DJ Hussey & SR Watson,3,0,106,98,35.33,0,1,Australia
AJ Finch & UT Khawaja,3,0,105,54,35,0,1,Australia
DJ Hussey & MEK Hussey,6,0,103,47,17.16,0,0,Australia
SM Katich & RT Ponting,2,0,101,83,50.5,0,1,Australia
GJ Bailey & MEK Hussey,4,1,100,45*,33.33,0,0,Australia
CA Lynn & GJ Maxwell,4,0,100,77,25,0,1,Australia
AC Gilchrist & RT Ponting,3,0,98,69,32.66,0,1,Australia
UT Khawaja & GJ Maxwell,1,0,97,97,97,0,1,Australia
BR Dunk & M Klinger,2,0,94,49,47,0,0,Australia
BJ Haddin & SPD Smith,2,0,94,66,47,0,1,Australia
TM Head & SR Watson,1,0,93,93,93,0,1,Australia
AC Agar & AJ Finch,1,0,86,86,86,0,1,Australia
GJ Bailey & SE Marsh,1,0,86,86,86,0,1,Australia
NM Coulter-Nile & GJ Maxwell,2,0,86,59,43,0,1,Australia
DR Martyn & A Symonds,1,0,84,84,84,0,1,Australia
AC Voges & DA Warner,1,1,84,84*,-,0,1,Australia
BR Dunk & AJ Finch,2,0,83,43,41.5,0,0,Australia
GJ Bailey & MS Wade,3,1,82,56*,41,0,1,Australia
ML Hayden & A Symonds,3,1,82,66,41,0,1,Australia
A Symonds & AC Voges,1,0,80,80,80,0,1,Australia
AT Carey & GJ Maxwell,5,2,78,34*,26,0,0,Australia
DJ Hussey & MG Johnson,3,0,78,41,26,0,0,Australia
GJ Bailey & GJ Maxwell,6,0,77,36,12.83,0,0,Australia
GJ Maxwell & SR Watson,6,0,76,38,12.66,0,0,Australia
AJ Finch & CA Lynn,4,0,74,40,18.5,0,0,Australia
SE Marsh & AC Voges,1,0,74,74,74,0,1,Australia
MJ Clarke & AC Gilchrist,3,0,72,57,24,0,1,Australia
JP Faulkner & SR Watson,2,0,72,57,36,0,1,Australia
MEK Hussey & MG Johnson,4,1,72,53*,24,0,1,Australia
RT Ponting & DA Warner,3,0,72,59,24,0,1,Australia
GJ Bailey & PJ Cummins,1,0,68,68,68,0,1,Australia
JR Hopes & DJ Hussey,2,1,67,50,67,0,1,Australia
GB Hogg & B Lee,2,0,66,57,33,0,1,Australia
A Symonds & CL White,1,1,66,66*,-,0,1,Australia
BJ Hodge & MEK Hussey,1,0,63,63,63,0,1,Australia
BJ Haddin & DJ Hussey,5,0,62,26,12.4,0,0,Australia
SPD Smith & CL White,3,1,61,38,30.5,0,0,Australia
DR Martyn & RT Ponting,3,0,58,46,19.33,0,0,Australia
JR Hopes & DR Martyn,1,0,57,57,57,0,1,Australia
SE Marsh & L Ronchi,1,0,57,57,57,0,1,Australia
AJ Finch & NJ Maddinson,1,0,56,56,56,0,1,Australia
AT Carey & AJ Finch,4,1,54,24,18,0,0,Australia
GJ Bailey & DJ Hussey,5,0,53,35,10.6,0,0,Australia
BCJ Cutting & CL White,1,0,53,53,53,0,1,Australia
AJ Finch & DJ Hussey,3,0,53,29,17.66,0,0,Australia
JP Faulkner & BJ Hodge,1,0,52,52,52,0,1,Australia
DJ Hussey & AC Voges,1,0,52,52,52,0,1,Australia
MEK Hussey & A Symonds,3,0,52,29,17.33,0,0,Australia
TM Head & M Klinger,1,0,51,51,51,0,1,Australia
MC Henriques & M Klinger,2,0,51,50,25.5,0,1,Australia
MJ Clarke & MEK Hussey,2,0,49,46,24.5,0,0,Australia
BJ Haddin & BJ Hodge,3,1,49,21*,24.5,0,0,Australia
MJ Clarke & A Symonds,4,1,48,22*,16,0,0,Australia
GJ Bailey & BJ Hodge,4,1,47,22*,15.66,0,0,Australia
RT Ponting & SR Watson,1,0,47,47,47,0,0,Australia
MEK Hussey & MS Wade,1,0,45,45,45,0,0,Australia
DJM Short & MP Stoinis,2,0,45,37,22.5,0,0,Australia
BJ Haddin & JR Hopes,2,0,44,25,22,0,0,Australia
BR McDermott & DJM Short,1,1,44,44*,-,0,0,Australia
GJ Bailey & CA Lynn,1,0,43,43,43,0,0,Australia
MJ Clarke & RT Ponting,2,0,43,42,21.5,0,0,Australia
JP Faulkner & DA Warner,2,1,42,41*,42,0,0,Australia
UT Khawaja & SPD Smith,3,0,42,33,14,0,0,Australia
CA Lynn & SR Watson,2,0,42,25,21,0,0,Australia
TR Birt & MS Wade,1,0,41,41,41,0,0,Australia
MS Wade & DA Warner,2,0,41,38,20.5,0,0,Australia
SR Watson & CL White,3,1,41,25*,20.5,0,0,Australia
BR McDermott & GJ Maxwell,5,0,40,21,8,0,0,Australia
MG Johnson & SNJ O'Keefe,1,0,39,39,39,0,0,Australia
AC Agar & NM Coulter-Nile,1,0,38,38,38,0,0,Australia
MJ Clarke & SR Watson,5,0,38,15,7.6,0,0,Australia
JP Faulkner & GJ Maxwell,2,0,38,25,19,0,0,Australia
BJ Hodge & A Symonds,1,0,38,38,38,0,0,Australia
TM Head & AJ Turner,1,0,37,37,37,0,0,Australia
DJ Hussey & SE Marsh,3,0,37,33,12.33,0,0,Australia
MR Marsh & SPD Smith,1,0,37,37,37,0,0,Australia
JN Gillespie & B Lee,1,0,36,36,36,0,0,Australia
CA Lynn & BR McDermott,2,0,36,36,18,0,0,Australia
AT Carey & CA Lynn,3,0,35,29,11.66,0,0,Australia
NM Coulter-Nile & MR Marsh,1,0,35,35,35,0,0,Australia
NM Coulter-Nile & MP Stoinis,2,1,35,33*,35,0,0,Australia
DJ Hussey & SPD Smith,2,0,35,21,17.5,0,0,Australia
MR Marsh & JL Pattinson,1,0,35,35,35,0,0,Australia
MEK Hussey & GJ Maxwell,2,0,33,26,16.5,0,0,Australia
ML Hayden & BJ Hodge,1,0,32,32,32,0,0,Australia
LA Pomersbach & A Symonds,1,0,32,32,32,0,0,Australia
AT Carey & MP Stoinis,1,0,31,31,31,0,0,Australia
MJ Clarke & GB Hogg,1,0,31,31,31,0,0,Australia
UT Khawaja & DA Warner,2,0,31,20,15.5,0,0,Australia
BR McDermott & AJ Tye,1,1,31,31*,-,0,0,Australia
AJ Finch & MC Henriques,2,0,30,28,15,0,0,Australia
MEK Hussey & DA Warner,3,0,30,25,10,0,0,Australia
AT Carey & TM Head,2,0,29,18,14.5,0,0,Australia
AJ Finch & BJ Haddin,2,0,29,22,14.5,0,0,Australia
NM Coulter-Nile & BR McDermott,1,0,27,27,27,0,0,Australia
BJ Haddin & MG Johnson,2,1,26,22,26,0,0,Australia
BJ Haddin & MA Starc,2,0,26,17,13,0,0,Australia
MR Marsh & MS Wade,1,0,26,26,26,0,0,Australia
TD Paine & DA Warner,1,0,26,26,26,0,0,Australia
AC Agar & AT Carey,1,0,25,25,25,0,0,Australia
MJ Clarke & SM Katich,1,0,25,25,25,0,0,Australia
JP Faulkner & MS Wade,4,1,25,13,8.33,0,0,Australia
JP Faulkner & CL White,1,0,25,25,25,0,0,Australia
BJ Haddin & BJ Rohrer,1,0,25,25,25,0,0,Australia
GJ Maxwell & MS Wade,2,0,24,14,12,0,0,Australia
DA Warner & CL White,4,0,24,14,6,0,0,Australia
NM Coulter-Nile & CJ McKay,1,1,23,23*,-,0,0,Australia
JW Hastings & CJ McKay,1,0,23,23,23,0,0,Australia
BJ Hodge & GJ Maxwell,1,0,23,23,23,0,0,Australia
TR Birt & CL White,1,0,22,22,22,0,0,Australia
DT Christian & TD Paine,1,0,22,22,22,0,0,Australia
