Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country,RandX,RandY
EJG Morgan ,2009-2018,2009,2018,77,75,14,1734,85*,85,28.42,1320,131.36,0,9,3,129,77,England,693,461
AD Hales ,2011-2018,2011,2018,57,57,7,1605,116*,116,32.1,1178,136.24,1,8,4,171,52,England,882,603
JC Buttler ,2011-2018,2011,2018,66,58,11,1260,73*,73,26.8,912,138.15,0,7,3,102,53,England,1022,908
KP Pietersen ,2005-2013,2005,2013,37,36,5,1176,79,79,37.93,831,141.51,0,7,1,119,32,England,253,529
JE Root ,2012-2018,2012,2018,28,26,4,787,90*,90,35.77,612,128.59,0,4,1,80,16,England,623,967
LJ Wright ,2007-2014,2007,2014,51,45,5,759,99*,99,18.97,554,137,0,4,9,68,31,England,499,429
JJ Roy ,2014-2018,2014,2018,32,32,0,743,78,78,23.21,512,145.11,0,4,4,75,35,England,673,1075
RS Bopara ,2008-2014,2008,2014,38,35,10,711,65*,65,28.44,599,118.69,0,3,0,54,17,England,175,499
PD Collingwood ,2005-2011,2005,2011,35,33,2,583,79,79,18.8,459,127.01,0,3,3,37,24,England,837,73
MJ Lumb ,2010-2014,2010,2014,27,27,1,552,63,63,21.23,413,133.65,0,3,1,64,21,England,735,959
C Kieswetter ,2010-2012,2010,2012,25,25,1,526,63,63,21.91,470,111.91,0,3,2,47,23,England,906,83
JM Bairstow ,2011-2018,2011,2018,27,22,6,396,60*,60,24.75,315,125.71,0,2,1,33,15,England,923,245
OA Shah ,2007-2009,2007,2009,17,15,1,347,55*,55,24.78,284,122.18,0,1,0,26,13,England,1105,1034
DJ Malan ,2017-2018,2017,2018,5,5,0,250,78,78,50,166,150.6,0,4,0,26,11,England,804,300
MM Ali ,2014-2018,2014,2018,25,22,6,235,72*,72,14.68,198,118.68,0,1,6,21,9,England,406,480
BA Stokes ,2011-2018,2011,2018,23,20,5,232,38,38,15.46,178,130.33,0,0,1,20,9,England,771,860
TT Bresnan ,2006-2014,2006,2014,34,22,9,216,47*,47,16.61,170,127.05,0,0,3,16,6,England,537,387
SW Billings ,2015-2018,2015,2018,17,15,0,205,53,53,13.66,152,134.86,0,1,1,18,8,England,956,505
JM Vince ,2015-2018,2015,2018,7,7,0,194,46,46,27.71,165,117.57,0,0,0,20,5,England,342,113
SR Patel ,2011-2013,2011,2013,18,14,2,189,67,67,15.75,173,109.24,0,1,2,17,5,England,389,1077
